,appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
0,10,Counter-Strike,Valve,Valve,,243818,6427,0,"10,000,000 .. 20,000,000",12222,563,204,88,199,999,80,7323
1,20,Team Fortress Classic,Valve,Valve,,7602,1136,0,"1,000,000 .. 2,000,000",361,6722,15,6722,499,499,0,66
2,30,Day of Defeat,Valve,Valve,,6414,688,0,"5,000,000 .. 10,000,000",859,3485,23,3604,499,499,0,87
3,40,Deathmatch Classic,Valve,Valve,,2618,545,0,"5,000,000 .. 10,000,000",353,4,10,4,499,499,0,7
4,50,Half-Life: Opposing Force,Gearbox Software,Valve,,24363,1198,0,"2,000,000 .. 5,000,000",528,78,162,78,499,499,0,74
5,60,Ricochet,Valve,Valve,,4989,1039,0,"200,000 .. 500,000",233,0,4,0,124,499,75,4
6,70,Half-Life,Valve,Valve,,143086,5135,0,"10,000,000 .. 20,000,000",635,481,136,39,999,999,0,634
7,80,Counter-Strike: Condition Zero,Valve,Valve,,24271,2287,0,"5,000,000 .. 10,000,000",1070,13,32,13,999,999,0,276
8,100,Counter-Strike: Condition Zero,Valve,Valve,,13442,1535,0,"10,000,000 .. 20,000,000",181,16,28,16,999,999,0,83
9,130,Half-Life: Blue Shift,Gearbox Software,Valve,,17384,1410,0,"1,000,000 .. 2,000,000",337,1,97,1,499,499,0,35
10,220,Half-Life 2,Valve,Valve,,239721,5906,0,"10,000,000 .. 20,000,000",763,157,326,48,199,999,80,1555
11,240,Counter-Strike: Source,Valve,Valve,,175426,6808,0,"10,000,000 .. 20,000,000",8021,304,385,256,199,999,80,6187
12,280,Half-Life: Source,Valve,Valve,,11068,4988,0,"2,000,000 .. 5,000,000",365,300,89,300,199,999,80,27
13,300,Day of Defeat: Source,Valve,Valve,,20798,1891,0,"2,000,000 .. 5,000,000",1906,1660,127,2411,199,999,80,238
14,320,Half-Life 2: Deathmatch,Valve,Valve,,12962,1334,0,"10,000,000 .. 20,000,000",635,0,38,0,1999,1999,0,159
15,340,Half-Life 2: Lost Coast,Valve,Valve,,12215,1471,0,"20,000,000 .. 50,000,000",0,0,0,0,1999,1999,0,2
16,360,Half-Life Deathmatch: Source,Valve,Valve,,3657,1242,0,"5,000,000 .. 10,000,000",338,0,12,0,199,999,80,43
17,380,Half-Life 2: Episode One,Valve,Valve,,30478,1344,0,"5,000,000 .. 10,000,000",0,0,0,0,1999,1999,0,18
18,400,Portal,Valve,Valve,,175024,2717,0,"10,000,000 .. 20,000,000",365,44,172,41,199,999,80,638
19,420,Half-Life 2: Episode Two,Valve,Valve,,40556,1226,0,"5,000,000 .. 10,000,000",0,0,0,0,1999,1999,0,20
20,440,Team Fortress 2,Valve,Valve,,1044264,117208,0,"50,000,000 .. 100,000,000",23736,650,4509,141,0,0,0,43819
21,500,Left 4 Dead,Valve,Valve,,59622,2272,0,"5,000,000 .. 10,000,000",1199,152,136,178,199,999,80,774
22,550,Left 4 Dead 2,Valve,Valve,,940221,23762,0,"50,000,000 .. 100,000,000",2480,172,519,85,999,999,0,25122
23,620,Portal 2,Valve,Valve,,427835,5675,0,"5,000,000 .. 10,000,000",974,156,500,155,199,999,80,1959
24,630,Alien Swarm,Valve,Valve,,20179,1095,0,"2,000,000 .. 5,000,000",1122,0,220,0,0,0,0,23
25,730,Counter-Strike: Global Offensive,Valve,Valve,,7642084,1173003,0,"100,000,000 .. 200,000,000",32775,875,6436,317,0,0,0,1013936
26,852,ValveTestApp852,,,,0,0,0,"0 .. 20,000",0,0,0,0,0,0,0,0
27,1002,Rag Doll Kung Fu,Mark Healey,Mark Healey,,91,30,0,"20,000 .. 50,000",48,0,48,0,99,99,0,0
28,1200,Red Orchestra: Ostfront 41-45,Tripwire Interactive,Tripwire Interactive,,2156,317,0,"500,000 .. 1,000,000",947,0,64,0,499,499,0,1
29,1250,Killing Floor,Tripwire Interactive,Tripwire Interactive,,64024,3448,0,"2,000,000 .. 5,000,000",1807,184,275,143,1999,1999,0,224
30,1300,SiN Episodes: Emergence,Ritual Entertainment,Ritual Entertainment,,1141,135,0,"100,000 .. 200,000",186,0,152,0,199,999,80,0
31,1309,SiN Episodes: Emergence,Ritual Entertainment,Ritual Entertainment,,322,45,0,"200,000 .. 500,000",6,0,10,0,999,999,0,0
32,1313,SiN: Gold,"Ritual Entertainment, Nightdive Studios",Nightdive Studios,,328,87,0,"100,000 .. 200,000",89,0,96,0,999,999,0,2
33,1500,Darwinia,Introversion Software,Introversion Software,,864,216,0,"0 .. 20,000",74,0,16,0,1199,1199,0,2
34,1510,Uplink,Introversion Software,Introversion Software,,2143,216,0,"500,000 .. 1,000,000",153,2,33,2,359,1199,70,2
35,1520,DEFCON,Introversion Software,Introversion Software,,3657,525,0,"200,000 .. 500,000",166,90,39,160,1199,1199,0,8
36,1530,Multiwinia,Introversion Software,Introversion Software,,478,107,0,"50,000 .. 100,000",99,0,19,0,899,2999,70,1
37,1600,Dangerous Waters,Sonalysts,Strategy First,,293,81,0,"100,000 .. 200,000",206,0,336,0,499,2499,80,2
38,1610,Space Empires IV Deluxe,Malfador Machinations,Strategy First,,231,39,0,"50,000 .. 100,000",105,0,157,0,999,999,0,21
39,1630,Disciples II: Rise of the Elves ,Strategy First,,,1149,171,0,"50,000 .. 100,000",520,0,420,0,599,599,0,35
40,1640,Disciples II: Gallean's Return,Strategy First,Strategy First,,1266,258,0,"50,000 .. 100,000",1326,0,1217,0,119,599,80,30
