month,avg_players,gain,pct_gain,peak_players,app_id,game_name
,963280.13,-11505.6,-1.18,1554184,730,Counter-Strike 2
2026-04-01,974785.71,-94387.41,-8.83,1564830,730,Counter-Strike 2
2026-03-01,1069173.12,-14921.47,-1.38,1717624,730,Counter-Strike 2
2026-02-01,1084094.59,13650.81,1.28,1627561,730,Counter-Strike 2
2026-01-01,1070443.78,79266.89,8.0,1654355,730,Counter-Strike 2
2025-12-01,991176.89,9694.44,0.99,1620137,730,Counter-Strike 2
2025-11-01,981482.45,33238.24,3.51,1597285,730,Counter-Strike 2
2025-10-01,948244.21,22303.9,2.41,1588091,730,Counter-Strike 2
2025-09-01,925940.31,-2488.93,-0.27,1571060,730,Counter-Strike 2
2025-08-01,928429.24,8359.26,0.91,1502245,730,Counter-Strike 2
2025-07-01,920069.98,-90054.01,-8.92,1427300,730,Counter-Strike 2
2025-06-01,1010123.99,-28472.82,-2.74,1725815,730,Counter-Strike 2
2025-05-01,1038596.81,-7104.84,-0.68,1712216,730,Counter-Strike 2
2025-04-01,1045701.65,6038.84,0.58,1811827,730,Counter-Strike 2
2025-03-01,1039662.81,36092.25,3.6,1818368,730,Counter-Strike 2
2025-02-01,1003570.56,89478.34,9.79,1783434,730,Counter-Strike 2
2025-01-01,914092.22,138.86,0.02,1594016,730,Counter-Strike 2
2024-12-01,913953.36,61789.06,7.25,1740261,730,Counter-Strike 2
2024-11-01,852164.3,22725.54,2.74,1556938,730,Counter-Strike 2
2024-10-01,829438.76,-6867.9,-0.82,1484045,730,Counter-Strike 2
2024-09-01,836306.66,-61031.22,-6.8,1473144,730,Counter-Strike 2
2024-08-01,897337.88,21972.8,2.51,1425958,730,Counter-Strike 2
2024-07-01,875365.08,-72155.45,-7.62,1342171,730,Counter-Strike 2
2024-06-01,947520.53,-10686.81,-1.12,1510840,730,Counter-Strike 2
2024-05-01,958207.34,27458.36,2.95,1614925,730,Counter-Strike 2
2024-04-01,930748.98,45119.29,5.09,1618685,730,Counter-Strike 2
2024-03-01,885629.69,98998.87,12.59,1521796,730,Counter-Strike 2
2024-02-01,786630.82,25771.59,3.39,1347519,730,Counter-Strike 2
2024-01-01,760859.23,-9235.58,-1.2,1277907,730,Counter-Strike 2
2023-12-01,770094.8,55583.37,7.78,1248217,730,Counter-Strike 2
2023-11-01,714511.43,-77613.53,-9.8,1161043,730,Counter-Strike 2
2023-10-01,792124.96,-184013.03,-18.85,1364902,730,Counter-Strike 2
2023-09-01,976137.99,53985.13,5.85,1556326,730,Counter-Strike 2
2023-08-01,922152.86,40461.95,4.59,1369511,730,Counter-Strike 2
2023-07-01,881690.91,-204275.9,-18.81,1222913,730,Counter-Strike 2
2023-06-01,1085966.81,-31550.6,-2.82,1665869,730,Counter-Strike 2
2023-05-01,1117517.4,199431.8,21.72,1802853,730,Counter-Strike 2
2023-04-01,918085.6,74611.06,8.85,1510231,730,Counter-Strike 2
2023-03-01,843474.54,38368.64,4.77,1519457,730,Counter-Strike 2
2023-02-01,805105.9,78955.61,10.87,1354248,730,Counter-Strike 2
2023-01-01,726150.29,96825.3,15.39,1199684,730,Counter-Strike 2
2022-12-01,629325.0,8319.0,1.34,1065079,730,Counter-Strike 2
2022-11-01,621005.99,12656.46,2.08,1129095,730,Counter-Strike 2
2022-10-01,608349.53,-10426.5,-1.69,1078860,730,Counter-Strike 2
2022-09-01,618776.04,-22668.74,-3.53,1100366,730,Counter-Strike 2
2022-08-01,641444.78,46991.71,7.91,1039889,730,Counter-Strike 2
2022-07-01,594453.07,22230.6,3.88,928329,730,Counter-Strike 2
2022-06-01,572222.47,7260.76,1.29,906670,730,Counter-Strike 2
2022-05-01,564961.7,-4021.46,-0.71,923996,730,Counter-Strike 2
2022-04-01,568983.16,-12506.53,-2.15,1013237,730,Counter-Strike 2
2022-03-01,581489.69,-53148.71,-8.37,987993,730,Counter-Strike 2
2022-02-01,634638.4,32262.13,5.36,995163,730,Counter-Strike 2
2022-01-01,602376.27,55762.08,10.2,991625,730,Counter-Strike 2
2021-12-01,546614.19,-1547.48,-0.28,950586,730,Counter-Strike 2
2021-11-01,548161.67,35725.82,6.97,935593,730,Counter-Strike 2
2021-10-01,512435.85,84.93,0.02,864966,730,Counter-Strike 2
2021-09-01,512350.92,268.96,0.05,942519,730,Counter-Strike 2
2021-08-01,512081.96,6014.6,1.19,802544,730,Counter-Strike 2
2021-07-01,506067.36,-43279.72,-7.88,763523,730,Counter-Strike 2
2021-06-01,549347.08,-110541.81,-16.75,929940,730,Counter-Strike 2
2021-05-01,659888.89,-63457.63,-8.77,1087197,730,Counter-Strike 2
2021-04-01,723346.52,-17581.31,-2.37,1148077,730,Counter-Strike 2
2021-03-01,740927.82,-85.42,-0.01,1198581,730,Counter-Strike 2
2021-02-01,741013.24,-2196.42,-0.3,1123485,730,Counter-Strike 2
2021-01-01,743209.66,25405.91,3.54,1124553,730,Counter-Strike 2
2020-12-01,717803.75,49049.17,7.33,1164396,730,Counter-Strike 2
2020-11-01,668754.58,55087.89,8.98,1037464,730,Counter-Strike 2
2020-10-01,613666.69,6816.37,1.12,943876,730,Counter-Strike 2
2020-09-01,606850.32,-33107.34,-5.17,977769,730,Counter-Strike 2
2020-08-01,639957.66,14056.85,2.25,925348,730,Counter-Strike 2
2020-07-01,625900.81,-45746.65,-6.81,857560,730,Counter-Strike 2
2020-06-01,671647.46,-97147.79,-12.64,1009467,730,Counter-Strike 2
2020-05-01,768795.25,-88808.97,-10.36,1193359,730,Counter-Strike 2
2020-04-01,857604.22,186570.94,27.8,1305714,730,Counter-Strike 2
2020-03-01,671033.29,127054.13,23.36,1145972,730,Counter-Strike 2
2020-02-01,543979.15,42783.15,8.54,916996,730,Counter-Strike 2
2020-01-01,501196.0,44494.44,9.74,817229,730,Counter-Strike 2
2019-12-01,456701.56,30620.76,7.19,767060,730,Counter-Strike 2
2019-11-01,426080.81,17085.5,4.18,758412,730,Counter-Strike 2
2019-10-01,408995.31,-1930.29,-0.47,747937,730,Counter-Strike 2
2019-09-01,410925.6,-4171.7,-1.0,720052,730,Counter-Strike 2
2019-08-01,415097.3,21314.48,5.41,647461,730,Counter-Strike 2
2019-07-01,393782.83,4406.1,1.13,578933,730,Counter-Strike 2
2019-06-01,389376.72,24959.42,6.85,587724,730,Counter-Strike 2
2019-05-01,364417.31,12427.39,3.53,588453,730,Counter-Strike 2
2019-04-01,351989.92,-38250.24,-9.8,621614,730,Counter-Strike 2
2019-03-01,390240.16,18881.2,5.08,680071,730,Counter-Strike 2
2019-02-01,371358.96,-30007.91,-7.48,654069,730,Counter-Strike 2
2019-01-01,401366.87,5857.61,1.48,684511,730,Counter-Strike 2
2018-12-01,395509.26,85423.83,27.55,746548,730,Counter-Strike 2
2018-11-01,310085.43,-15822.39,-4.85,546031,730,Counter-Strike 2
2018-10-01,325907.82,-7256.17,-2.18,565968,730,Counter-Strike 2
2018-09-01,333163.99,49632.68,17.51,583029,730,Counter-Strike 2
2018-08-01,283531.31,10224.05,3.74,454370,730,Counter-Strike 2
2018-07-01,273307.26,6445.02,2.42,426008,730,Counter-Strike 2
2018-06-01,266862.24,4691.36,1.79,420261,730,Counter-Strike 2
2018-05-01,262170.88,-26905.82,-9.31,454481,730,Counter-Strike 2
2018-04-01,289076.7,-65193.64,-18.4,523262,730,Counter-Strike 2
2018-03-01,354270.33,-28186.77,-7.37,672502,730,Counter-Strike 2
2018-02-01,382457.1,426.57,0.11,686588,730,Counter-Strike 2
2018-01-01,382030.53,41153.65,12.07,715850,730,Counter-Strike 2
2017-12-01,340876.88,19745.48,6.15,598405,730,Counter-Strike 2
2017-11-01,321131.4,-20729.86,-6.06,601881,730,Counter-Strike 2
2017-10-01,341861.26,-12540.83,-3.54,639968,730,Counter-Strike 2
2017-09-01,354402.09,-20023.6,-5.35,665371,730,Counter-Strike 2
2017-08-01,374425.69,-3163.35,-0.84,595781,730,Counter-Strike 2
2017-07-01,377589.04,3201.0,0.85,624785,730,Counter-Strike 2
2017-06-01,374388.04,2558.7,0.69,614621,730,Counter-Strike 2
2017-05-01,371829.34,-20369.85,-5.19,692966,730,Counter-Strike 2
2017-04-01,392199.19,5290.47,1.37,709841,730,Counter-Strike 2
2017-03-01,386908.72,-15476.99,-3.85,742356,730,Counter-Strike 2
2017-02-01,402385.71,9276.18,2.36,744468,730,Counter-Strike 2
2017-01-01,393109.53,50913.83,14.88,814616,730,Counter-Strike 2
2016-12-01,342195.7,13150.44,4.0,662460,730,Counter-Strike 2
2016-11-01,329045.26,-4031.2,-1.21,627124,730,Counter-Strike 2
2016-10-01,333076.46,10550.57,3.27,661985,730,Counter-Strike 2
2016-09-01,322525.89,-24703.36,-7.11,638360,730,Counter-Strike 2
2016-08-01,347229.25,-6548.31,-1.85,599095,730,Counter-Strike 2
2016-07-01,353777.56,19466.5,5.82,636056,730,Counter-Strike 2
2016-06-01,334311.06,-4427.34,-1.31,579110,730,Counter-Strike 2
2016-05-01,338738.39,-37057.47,-9.86,668612,730,Counter-Strike 2
2016-04-01,375795.87,-3631.08,-0.96,850485,730,Counter-Strike 2
2016-03-01,379426.95,3141.92,0.83,737599,730,Counter-Strike 2
2016-02-01,376285.02,10913.93,2.99,738969,730,Counter-Strike 2
2016-01-01,365371.09,-12076.02,-3.2,667432,730,Counter-Strike 2
2015-12-01,377447.11,16521.23,4.58,823694,730,Counter-Strike 2
2015-11-01,360925.88,-1840.21,-0.51,786707,730,Counter-Strike 2
2015-10-01,362766.09,6860.76,1.93,732093,730,Counter-Strike 2
2015-09-01,355905.33,-1629.91,-0.46,725939,730,Counter-Strike 2
2015-08-01,357535.24,28002.87,8.5,819902,730,Counter-Strike 2
2015-07-01,329532.38,-14623.63,-4.25,541181,730,Counter-Strike 2
2015-06-01,344156.01,26869.72,8.47,610401,730,Counter-Strike 2
2015-05-01,317286.29,25537.55,8.75,677701,730,Counter-Strike 2
2015-04-01,291748.74,23752.43,8.86,568556,730,Counter-Strike 2
2015-03-01,267996.31,28061.68,11.7,595439,730,Counter-Strike 2
2015-02-01,239934.64,5863.96,2.51,455508,730,Counter-Strike 2
2015-01-01,234070.68,50481.18,27.5,443188,730,Counter-Strike 2
2014-12-01,183589.5,36260.43,24.61,367634,730,Counter-Strike 2
2014-11-01,147329.07,13791.37,10.33,348018,730,Counter-Strike 2
